v0,r0,t0,w_wh,w_m,T_m,T_a,F_trac,F_drag,F_down,F_RR,F_net_tan,a_tan0,P_battery,Pack Voltage,Pack Capacity,Pack Current,Energy Use,SoC Capacity,Dissipated Power,Battery Temp,Drooped Voltage,Total Losses,Total Losses NRG,Heatsink Temp
94.42298693213458,71.81999999999984,4.919026684397921,114.73581575305553,15700.611960585224,8.926176545,127.91210988985002,1119.0910751517936,258.4232289231188,71.05329766643128,22.307940000000002,838.3599062286747,3.6867190247523074,68.37719999140192,487.3600444121794,13.889062824211207,140.30120190479272,0.057428508628181434,99.20759160150861,22.046558526640943,31.365360348686227,377.3639021188219,15447.288674333087,0.008566318763435339,30.024590994420173
94.42804699217957,71.82999999999984,4.919407937274879,114.74196436300619,15701.45334510233,8.926176545,127.91210988985002,1119.0910751517936,258.450927095683,71.05710536161513,22.307940000000002,838.3322080561105,3.6865972210031246,68.37719999349115,487.3600097301718,13.889047965812077,140.30121189333605,0.057435750406329145,99.20748547008627,22.046561665787433,31.36562100975097,377.36385960579634,15447.290873828397,0.008567954774117474,30.024597407339076
94.43310661392518,71.83999999999985,4.919789169723296,114.7481124403679,15702.294656739212,8.926176545,127.91210988985002,1119.0910751517936,258.4786243531405,71.06091272697869,22.307940000000002,838.304510798653,3.6864754212781574,68.37719999558034,487.3599750500201,13.889033108208043,140.30122188134646,0.05744299179638898,99.20737934434317,22.046564804766668,31.36588165681514,377.3638170950445,15447.293073206512,0.008569590697358465,30.024603821130324
94.43816579744734,71.84999999999985,4.920170381747129,114.75425998523298,15703.135895508492,8.926176545,127.91210988985002,1119.0910751517936,258.50632069552154,71.06471976257912,22.307940000000002,838.2768144562721,3.6863536255772735,68.37719999766948,487.359940371724,13.889018251398948,140.30123186882398,0.057450232798436154,99.2072732242782,22.04656794357865,31.36614228988145,377.363774586566,15447.295272467441,0.008571226533175264,30.024610235793784
94.44322454282204,71.85999999999986,4.9205515733503375,114.76040699769374,15703.977061422815,8.926176545,127.91210988985002,1119.0910751517936,258.5340161228564,71.06852646847358,22.307940000000002,838.2491190289371,3.686231833900339,68.37719999975847,487.35990569528303,13.88900339538464,140.30124185576858,0.05745747341254581,99.20716710989028,22.046571082223373,31.366402908952608,377.3637320803605,15447.297471611177,0.008572862281584812,30.024616651329318
94.44828285012518,71.86999999999986,4.920932744536876,114.7665534778424,15704.818154494791,8.926176545,127.91210988985002,1119.0910751517936,258.5617106351752,71.0723328447192,22.307940000000002,838.2214245166184,3.6861100462472223,68.37720000186584,487.3598710206969,13.888988540164965,140.30125184221833,0.05746471363879316,99.20706100117832,22.046574220712806,31.366663514031327,377.36368957639775,15447.299670646105,0.008574497942604061,30.024623067736794
94.45334071943267,71.87999999999987,4.9213138953107,114.77269942577121,15705.659174737048,8.926176545,127.91210988985002,1119.0910751517936,258.58940423250834,71.07613889137309,22.307940000000002,838.1937309192853,3.685988262617789,68.37720000395443,487.35983634796514,13.888973685739767,140.30126182809713,0.0574719534772533,99.20695489814119,22.04657735902302,31.366924105120315,377.363647074737,15447.30186955546,0.008576133516249944,30.024629485016074
94.45839815082039,71.88999999999987,4.921695025675761,114.77884484157235,15706.5001221622,8.926176545,127.91210988985002,1119.0910751517936,258.6170969148858,71.07994460849234,22.307940000000002,838.1660382369078,3.6858664830119072,68.37720000604273,487.3598016770875,13.888958832108894,140.301271813443,0.057479192928001355,99.20684880077782,22.046580497165973,31.367184682222284,377.3636045753482,15447.304068347625,0.008577769002539391,30.024635903167027
94.46345514436419,71.89999999999988,4.922076135636012,114.78498972533804,15707.340996782865,8.926176545,127.91210988985002,1119.0910751517936,258.64478868233806,71.08374999613405,22.307940000000002,838.1383464694555,3.6857447074294436,68.37720000813071,487.3597670080636,13.888943979272193,140.30128179825599,0.0574864319911124,99.2067427090871,22.046583635141676,31.367445245339937,377.3635620782309,15447.3062670226,0.008579404401489325,30.024642322189518
94.46851170013991,71.90999999999988,4.922457225195405,114.79113407716038,15708.181798611646,8.926176545,127.91210988985002,1119.0910751517936,258.67247953489516,71.08755505435528,22.307940000000002,838.1106556168984,3.6856229358702652,68.3772000102183,487.35973234089306,13.88892912722951,140.30129178253605,0.057493670666661514,99.20663662306792,22.046586772950118,31.367705794475985,377.3635195833848,15447.308465580383,0.008581039713116672,30.02464874208341
94.47356781822337,71.91999999999989,4.92283829435789,114.79727789713154,15709.022527661156,8.926176545,127.91210988985002,1119.0910751517936,258.7001694725875,71.09135978321308,22.307940000000002,838.082965679206,3.6855011683342394,68.37720001232402,487.35969767557555,13.888914275980689,140.30130176632127,0.05750090895472374,99.20653054271921,22.046589910603267,31.36796632963313,377.36347709077967,15447.310664029355,0.008582674937438346,30.02465516284857
