v0,r0,t0,w_wh,w_m,T_m,T_a,F_trac,F_drag,F_RR,F_net_tan,a_tan0,a_norm0,P_battery,P_battery_OL,P_battery_regen,Capacity,Pack Current,Energy Use,Energy Use OL,SoC Energy,SoC Capacity,Dissipated Power,Battery Temp,Heatsink Temp,Max Values
65.15902086,9596.435285,640.3,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,7.644161241,22.89465025,0,7.041470537,25.25046717,3.500922376,3.395333532,99.33178302,39.78231942,0.708428992,82.63671143,69.97448524,0
65.15902086,9598.245257,640.4,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,7.644161241,22.8811726,0,7.040769135,25.25046717,3.501134714,3.39596912,99.3317425,39.7783567,0.708428992,82.63696796,69.98327827,0
65.15902086,9600.05523,640.5,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,7.644161241,22.87231664,0,7.040067734,25.25046717,3.501347052,3.396604463,99.33170197,39.77439397,0.708428992,82.6372249,69.99206514,0
65.15902086,9601.865203,640.6,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,7.644161241,22.86180247,0,7.039366332,25.25046717,3.501559389,3.397239513,99.33166144,39.77043125,0.708428992,82.63748223,70.00084583,0
65.15902086,9603.675176,640.7,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,7.644161241,22.85250339,0,7.03866493,25.25046717,3.501771727,3.397874304,99.33162091,39.76646853,0.708428992,82.63773998,70.00962037,0
65.15902086,9605.485149,640.8,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,0,0,-22.82861705,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63799813,70.01838874,0
65.15902086,9607.295121,640.9,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,0,0,-22.74745852,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63739893,70.02715096,0
65.15902086,9609.105094,641,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,0,0,-22.67009921,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63680018,70.03590641,0
65.15902086,9610.915067,641.1,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,0,0,-22.7374336,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63620187,70.0446551,0
65.15902086,9612.72504,641.2,79.17641303,3175.532012,9.100322896,38.22135616,167.1975335,141.0318664,26.16566709,0,0,14.83024691,0,0,-22.91437743,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.635604,70.05339704,0
65.15902086,9614.535013,641.3,79.17641303,3175.532012,60.0588472,252.2471582,1103.443387,141.0318664,26.16566709,936.2458533,3.510161537,0,0,0,-23.03247415,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63500658,70.06213223,0
66.42267902,9616.362536,641.4,80.71191676,3237.116531,58.93098152,247.5101224,1082.721445,146.555098,26.16566709,910.0006802,3.411763454,0,0,0,-23.17751099,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63440961,70.07086068,0
67.65091386,9618.22467,641.5,82.20437671,3296.97469,57.84469615,242.9477238,1062.763446,152.0251671,26.16566709,884.5726121,3.316428851,0,0,0,-23.29521348,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63381307,70.07958239,0
68.84482825,9620.120444,641.6,83.65513299,3355.160239,56.79773332,238.55048,1043.527909,157.4384465,26.16566709,859.9237952,3.224015807,0,0,0,-23.36985469,7.037963528,0,3.501771727,3.397874304,99.33162091,39.76250581,0,82.63321698,70.08829736,0
