Section Length,Cumulative Length,Radius
4.91,5918.53,8.51
10,5928.53,8.13
9.8,5938.33,8.49
9.09,5947.42,7.79
5.22,5952.64,0
9.72,5962.36,8.45
8.69,5971.05,0
12.37,5983.42,10.03
7.28,5990.7,0
12.91,6003.61,8.2
3.65,6007.26,0
9.96,6017.22,6.86
9.92,6027.14,9.39
9.94,6037.08,0
15.32,6052.4,13.24
8.08,6060.48,0
14.53,6075.01,13.3
10.52,6085.53,0
12.98,6098.51,15.07
11.78,6110.29,0
10,6120.29,23.56
63.85,6184.14,0
18.74,6202.88,31.72
26.59,6229.47,21.5
18.13,6247.6,0
25.64,6273.24,22.09
20.28,6293.52,0
18.34,6311.86,22.23
14.41,6326.27,20.43
10.71,6336.98,11.57
11.77,6348.75,15.09
29.13,6377.88,20.63
10.25,6388.13,10.21
78.13,6466.26,0
10.04,6476.3,7.44
16.01,6492.31,11.78
16.68,6508.99,0
7.21,6516.2,9.13
6.61,6522.81,4.05
6.68,6529.49,0
14.26,6543.75,12.32
7.29,6551.04,3.92
9.05,6560.09,29.42
20.96,6581.05,0
32.25,6613.3,33.4
22.99,6636.29,17.72
17.05,6653.34,15.49
12.19,6665.53,5.52
95.71,6761.24,0
4.28,6765.52,6.38
8.89,6774.41,7.09
9.5,6783.91,7.92
7.5,6791.41,8.7
10.67,6802.08,36.5
31.55,6833.63,0
5.2,6838.83,3.71
31.33,6870.16,14.33
7.22,6877.38,0
4,6881.38,6.58
5.99,6887.37,20.92
29.12,6916.49,0
4.91,6921.4,8.51
10,6931.4,8.13
9.8,6941.2,8.49
9.09,6950.29,7.79
5.22,6955.51,0
9.72,6965.23,8.45
8.69,6973.92,0
12.37,6986.29,10.03
7.28,6993.57,0
12.91,7006.48,8.2
3.65,7010.13,0
9.96,7020.09,6.86
9.92,7030.01,9.39
9.94,7039.95,0
15.32,7055.27,13.24
8.08,7063.35,0
14.53,7077.88,13.3
10.52,7088.4,0
12.98,7101.38,15.07
11.78,7113.16,0
10,7123.16,23.56
63.85,7187.01,0
18.74,7205.75,31.72
26.59,7232.34,21.5
18.13,7250.47,0
25.64,7276.11,22.09
20.28,7296.39,0
18.34,7314.73,22.23
14.41,7329.14,20.43
10.71,7339.85,11.57
11.77,7351.62,15.09
29.13,7380.75,20.63
10.25,7391,10.21
78.13,7469.13,0
10.04,7479.17,7.44
16.01,7495.18,11.78
16.68,7511.86,0
7.21,7519.07,9.13
6.61,7525.68,4.05
6.68,7532.36,0
14.26,7546.62,12.32
7.29,7553.91,3.92
9.05,7562.96,29.42
20.96,7583.92,0
32.25,7616.17,33.4
22.99,7639.16,17.72
17.05,7656.21,15.49
12.19,7668.4,5.52
95.71,7764.11,0
4.28,7768.39,6.38
