speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,kW,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
42.2520666578251,1.01889464294654,11.75,14.6698380275288,-0.154479976556188,1,4.2,2055.56230790777,100,21.5257981517304,0.661198939576776,66.1198939576776,95.422592872168,96.3948914961171,0,9.39,1,42.464299822506,0.5,1.51,16.4843421606929,11.2539449005301,0.0199758767455398,1.76921967015525,-12.2830622194986,0,2207.91119893958,
42.2409777978228,1.04019537616957,12,14.6621389753034,-0.144607176536223,1,4.2,2055.02283506155,100,21.5201488052954,0.660851927894873,66.0851927894873,95.2902634295178,96.3967835360018,0,9.39,1,42.464299822506,0.5,1.51,17.9228678137649,11.2585884544077,0.0228288772905878,1.87131569398797,-12.5252871550302,0,2207.91085192789,
42.2305760638152,1.06150170113931,12.25,14.6549188350629,-0.135610930640121,1,4.2,2054.51679088302,100,21.5148495230499,0.660526501733955,66.0526501733955,95.1697387170926,96.398557883403,0,9.39,1,42.464299822506,0.5,1.51,19.3624031568743,11.2638055237587,0.0256416921102359,1.97938205740503,-12.7646990311567,0,2207.91052650173,
42.22080369605,1.08281327403001,12.5,14.6481371759127,-0.127374296367407,1,4.2,2054.04136536124,100,21.5098708786281,0.660220838792737,66.0220838792737,95.0594374389537,96.4002244742015,0,9.39,1,42.464299822506,0.5,1.51,20.8029979672321,11.2695815613002,0.0283820082172381,2.09334209028329,-13.0011405675296,0,2207.91022083879,
42.2116101152216,1.10412977966735,12.75,14.6417586061436,-0.119802583771988,1,4.2,2053.59409781387,100,21.5051871038247,0.659933343896102,65.9933343896102,94.9580799230308,96.4017920058998,0,9.39,1,42.464299822506,0.5,1.51,22.2447017254511,11.2759010281946,0.0310450988982797,2.21311498006716,-13.2344565715375,0,2207.9099333439,
42.2029506505449,1.12545092798516,13,14.6357518802207,-0.112817884796013,1,4.2,2053.17281500798,100,21.5007754405978,0.659662608745306,65.9662608745306,94.8646138741214,96.4032681570792,0,9.39,1,42.464299822506,0.5,1.51,23.6875635964521,11.2827490256296,0.0336342397585012,2.33861582856865,-13.464494047385,0,2207.90966260875,
42.1947855602166,1.14677645110918,13.25,14.6300892109469,-0.106355217340283,1,4.2,2052.77558350554,100,21.4966156420317,0.6594073809158,65.94073809158,94.778162057789,96.4046597564353,0,9.39,1,42.464299822506,0.5,1.51,25.1316324097146,11.290111654594,0.0361544566904802,2.46975571163897,-13.6911023036273,0,2207.90940738092,
42.1870792632226,1.16810610092374,13.5,14.6247457299714,-0.100359737383349,1,4.2,2052.40067229085,100,21.4926895809722,0.65916653954127,65.916653954127,94.6979844867462,96.4059729153583,0,9.39,1,42.464299822506,0.5,1.51,26.5769566388686,11.2979759913193,0.0386106393312913,2.60644174166992,-13.9141330590854,0,2207.90916653954,
42.1797997273099,1.18943964701695,13.75,14.6196990579351,-0.0947846785645729,1,4.2,2052.04652299532,100,21.4889809382219,0.65893907593925,65.893907593925,94.6234504827496,96.4072131335693,0,9.39,1,42.464299822506,0.5,1.51,28.023584380579,11.3063299635033,0.0410070560968486,2.74857713288101,-14.1334405470676,0,2207.90893907594,
42.1729179745793,1.21077687492743,14,14.6149289572125,-0.0895897999841964,1,4.2,2051.71172584469,100,21.4854749506591,0.658724077959481,65.8724077959481,94.5540176360341,96.408385384459,0,9.39,1,42.464299822506,0.5,1.51,29.4715633327143,11.3151622151377,0.0433473004170969,2.89606126934641,-14.3488816178226,0,2207.90872407796,
42.1664076771774,1.23211758463461,14.25,14.6104170479326,-0.0847401970128294,1,4.2,2051.39499998934,100,21.4821582052578,0.658520717184417,65.8520717184417,94.4892156903537,96.4094941848754,0,9.39,1,42.464299822506,0.5,1.51,30.9209407717751,11.3244619840529,0.0456343550347459,3.048789775714,-14.5603158391547,0,2207.90852071718,
42.1602448230426,1.25346158924819,14.5,14.6061465732104,-0.0802053765131196,1,4.2,2051.09517724289,100,21.479018468799,0.658328238347738,65.8328238347738,94.4286340149287,96.4105436528183,0,9.39,1,42.464299822506,0.5,1.51,32.3717635295552,11.3342189963917,0.0478706766289272,3.20665459056679,-14.7676055951275,0,2207.90832823835,
42.1544074368543,1.27480871386233,14.75,14.6021022031607,-0.0759585280332517,1,4.2,2050.81118850637,100,21.4760445457045,0.658145950500858,65.8145950500858,94.3719117342377,96.4115375556025,0,9.39,1,42.464299822506,0.5,1.51,33.8240779690277,11.3444233768124,0.0500582742694988,3.36954404237509,-14.9706161827891,0,2207.9081459505,
42.1488753450054,1.2961587945472,15,14.5982698698445,-0.0719759425239361,1,4.2,2050.54205233415,100,21.4732261582997,0.65797321957363,65.797321957363,94.3187298581013,96.41247935042,0,9.39,1,42.464299822506,0.5,1.51,35.2779299594175,11.3550655717947,0.0521987747462986,3.53734292798613,-15.1692159068499,0,2207.90797321957,
42.1436299760674,1.31751167745649,15.25,14.5946366271553,-0.0682365436738488,1,4.2,2050.28686522657,100,21.4705538451581,0.657809462059144,65.7809462059144,94.2688049384162,96.4133722187728,0,9.39,1,42.464299822506,0.5,1.51,36.7333648504678,11.3661362837505,0.0542934764327494,3.7099325935959,-15.3632761722455,0,2207.90780946206,
42.1386541901521,1.33886721803311,15.5,14.5911905310123,-0.0647215063134774,1,4.2,2050.04479332834,100,21.4680188741677,0.657654139613786,65.7654139613786,94.2218839059025,96.4142190959153,0,9.39,1,42.464299822506,0.5,1.51,38.1904274458679,11.3776264139006,0.0563433930080949,3.88719101814631,-15.5526715745215,0,2207.90765413961,
42.1339321320118,1.36022528029914,15.75,14.5879205362364,-0.0614139429142376,1,4.2,2049.81506528196,100,21.4656131676916,0.657506754409249,65.7506754409249,94.1777398295082,96.4150226961972,0,9.39,1,42.464299822506,0.5,1.51,39.6491619758326,11.3895270122878,0.0583492890583227,4.0689928990891,-15.7372799879758,0,2207.90750675441,
42.1294491038038,1.38158573621814,16,14.5848164072463,-0.0582986439079242,1,4.2,2049.59696603762,100,21.4633292377457,0.657366845107404,65.7366845107404,94.1361684048806,96.4157855350096,0,9.39,1,42.464299822506,0.5,1.51,41.1096120688272,11.4018292337436,0.0603117097857616,4.25520974045611,-15.9169826514953,0,2207.90736684511,
42.1251914542661,1.40294846512026,16.25,14.5818686402873,-0.0553618609564329,1,4.2,2049.38983146168,100,21.4611601295388,0.657233983355027,65.7233983355027,94.0969850245159,96.4165099478976,0,9.39,1,42.464299822506,0.5,1.51,42.5718207224177,11.4145242986897,0.0622310051531418,4.44570994317418,-16.0916642520292,0,2207.90723398336,
42.121146481686,1.424313353182,16.5,14.5790683953547,-0.052591124803435,1,4.2,2049.19304361602,100,21.459099372038,0.657107770715426,65.7107770715426,94.0600223161437,96.4171981072897,0,9.39,1,42.464299822506,0.5,1.51,44.0358302732543,11.4276034581126,0.0641073507139179,4.64035889756103,-16.2612130056377,0,2207.90710777072,
42.1173023485365,1.44568029295396,16.75,14.5764074363162,-0.0499750911993149,1,4.2,2049.00602660517,100,21.45714093448,0.656987835969644,65.6987835969644,94.02512806113,96.4178520372131,0,9.39,1,42.464299822506,0.5,1.51,45.501682366165,11.4410579619025,0.0659407644316384,4.8390190779372,-16.4255207360605,0,2207.90698783597,
42.1136480060421,1.46704918293063,17,14.573878078012,-0.0475034097899638,1,4.2,2048.82824290639,100,21.45527918794,0.656873832732155,65.6873832732155,93.9921634236599,96.4184736262937,0,9.39,1,42.464299822506,0.5,1.51,46.969417922376,11.4548790302552,0.0677311219705624,5.04155013928753,-16.5844829507503,0,2207.90687383273,
42.1101731272425,1.48841992715756,17.25,14.5714731393256,-0.0451666119229355,1,4.2,2048.65919011323,100,21.4535088712298,0.656765437335681,65.6765437335681,93.9610014358754,96.4190646392888,0,9.39,1,42.464299822506,0.5,1.51,48.4390771068321,11.4690578274793,0.0694781687264233,5.24780901590428,-16.7379989143157,0,2207.90676543734,
42.1068680473656,1.50979243487156,17.5,14.5691859013912,-0.0429560141405875,1,4.2,2048.49839803472,100,21.4518250605211,0.656662346947504,65.6662346947504,93.9315256952126,96.4196267273577,0,9.39,1,42.464299822506,0.5,1.51,49.9106992946577,11.4835854381083,0.0711815313345547,5.45765002194242,-16.885971719325,0,2207.90666234695,
42.1037237105207,1.53116662017044,17.75,14.5670100702404,-0.0408636347615748,1,4.2,2048.3454261019,100,21.4502231421867,0.656564277885874,65.6564277885874,93.9036292387416,96.4201614372413,0,9.39,1,42.464299822506,0.5,1.51,51.3843230367265,11.4984528448514,0.0728407268688013,5.67092495381666,-17.0283083544184,0,2207.90656427789,
42.1007316218791,1.5525424017091,18,14.5649397433036,-0.0388821214457382,1,4.2,2048.19986104154,100,21.4486987884391,0.65647096411018,65.647096411018,93.8772135660086,96.4206702194945,0,9.39,1,42.464299822506,0.5,1.51,52.8599860243737,13.4740864845589,9.67861084200328,5.88748319436793,-17.1649197696818,0,2207.90647096411,
42.097883804642,1.57391970241929,18.25,14.5629693792742,-0.0370046880257678,1,4.2,2048.0613147825,100,21.4472479354072,0.656382155862645,65.6382155862646,93.8521877871399,96.4211544358918,0,9.39,1,42.464299822506,0.5,1.51,54.3377250532537,8.33172600485632,-25.1905859150272,6.10717181872646,-17.2957209392372,0,2207.90638215586,
42.0951727612003,1.59529844925076,18.5,14.5610937709155,-0.0352250591971078,1,4.2,2047.92942256622,100,21.4458667633481,0.656297618442705,65.6297618442704,93.8284678771435,96.42161536611,0,9.39,1,42.464299822506,0.5,1.51,56.5719857919264,8.58326971556422,1.23213937631035,6.32983570179668,-17.4206309210033,0,2207.90629761844,
42.2464375421593,1.61667857293158,18.75,0,1.96528305159098,1,4.2,2055.28845152855,100,21.5229303344334,0.661022772223545,66.1022772223545,66.5601493283979,100,0,0,1,0,1.51,0.5,56.5719857919264,2.86108990518807,-28.0272124445556,6.55763423516651,-17.53698713779,0,2207.91102277222,
42.3970000247136,1.63798214436531,19,0,1.96318781340114,1,4.2,2062.6133136857,100,21.5996361115717,0.665742818924282,66.5742818924282,66.5600777635688,100,0,0,1,0,1.51,0.5,56.5719857919264,0.953696635062691,-9.37597514040141,6.78543276853635,-17.6533433545767,0,2207.91574281892,
42.5468678756762,1.65921006142254,19.25,0,1.96109483980411,1,4.2,2069.90438202801,100,21.6759880007084,0.670457765196387,67.0457765196387,66.560006276089,100,0,0,1,0,1.51,0.5,56.5719857919264,0.31789887835423,-3.13646342260708,7.01323130190618,-17.7696995713634,0,2207.9204577652,
42.6960486189634,1.68036320488377,19.5,0,1.95900412785047,1,4.2,2077.16202259386,100,21.7519898349886,0.675167617656624,67.5167617656624,66.5599348658578,100,0,0,1,0,1.51,0.5,56.5719857919264,0.105966292784743,-1.04918347022012,7.24102983527602,-17.8860557881501,0,2207.92516761766,
