elapsedDistance,engineSpeed,torque,brakePosition
Length,Speed (angular),Torque,Ratio
m,rpm,N.m,%
85.25,2589.407229,76.55155372,0
85.5,2588.935491,76.56631913,0
85.75,2588.476476,76.58068631,0
86,2588.029742,76.59466906,0
86.25,2587.594872,76.60828051,0
86.5,2587.171465,76.62153314,0
86.75,2586.759142,76.63443884,0
87,2586.357541,76.64700896,0
87.25,2585.966316,76.65925431,0
87.5,2585.585136,76.67118525,0
87.75,2585.213685,76.68281166,0
88,2584.851661,76.69414301,0
88.25,2584.498774,76.70518838,0
88.5,2584.154746,76.71595646,0
88.75,2583.81931,76.7264556,0
89,2583.492211,76.7366938,0
89.25,2583.173203,76.74667876,0
89.5,2582.862048,76.75641788,0
89.75,2582.558521,76.76591829,0
90,2582.262402,76.77518682,0
90.25,2587.588857,76.60846876,0
90.5,2592.898686,76.44227113,0
90.75,2598.191996,76.27659053,0
91,2603.468894,76.11142361,0
91.25,2608.729487,75.94676706,0
91.5,2613.973879,75.78261759,0
91.75,2619.202173,75.61897198,0
92,2624.414473,75.455827,0
92.25,2629.610879,75.29317949,0
92.5,2634.791492,75.13102631,0
92.75,2639.95641,74.96936436,0
93,2645.105733,74.80819056,0
93.25,2650.239556,74.64750189,0
93.5,2655.357977,74.48729532,0
93.75,2660.461089,74.3275679,0
94,2665.548988,74.16831668,0
94.25,2670.621765,74.00953875,0
94.5,2675.679514,73.85123122,0
94.75,2680.722324,73.69339125,0
95,2685.750287,73.53601602,0
95.25,2690.763491,73.37910273,0
95.5,2695.762025,73.22264862,0
95.75,2700.745976,73.06665096,0
96,2705.71543,72.91110704,0
96.25,2710.670474,72.75601418,0
96.5,2715.611191,72.60136972,0
96.75,2720.537666,72.44717105,0
97,2725.449982,72.29341556,0
97.25,2730.348221,72.14010068,0
97.5,2735.232465,71.98722385,0
97.75,2740.102793,71.83478257,0
98,2744.959287,71.68277432,0
98.25,2749.802024,71.53119664,0
98.5,2754.631084,71.38004707,0
98.75,2759.446543,71.22932319,0
99,2764.248479,71.07902261,0
99.25,2769.036967,70.92914293,0
99.5,2773.812083,70.7796818,0
99.75,2778.573901,70.63063689,0
100,2783.322496,70.48200589,0
100.25,2788.057939,70.33378651,0
100.5,2792.780304,70.18597647,0
100.75,2797.489663,70.03857354,0
101,2802.186087,69.89157549,0
101.25,2806.869645,69.74498011,0
101.5,2811.540408,69.59878522,0
101.75,2816.198446,69.45298865,0
102,2820.843825,69.30758827,0
102.25,2823.271339,69.23160708,0
102.5,2825.684707,69.15606866,0
102.75,2828.08399,69.08097112,0
103,2830.469246,69.00631261,0
103.25,2832.840535,68.93209125,0
103.5,2835.197917,68.85830518,0
103.75,2837.541452,68.78495256,0
104,2839.871197,68.71203154,0
104.25,2842.187211,68.63954029,0
104.5,2844.489554,68.56747696,0
104.75,2846.778283,68.49583974,0
105,2849.053457,68.42462681,0
105.25,2851.315133,68.35383635,0
105.5,2853.563369,68.28346656,0
105.75,2855.798222,68.21351564,0
106,2858.019751,68.14398179,0
106.25,2860.228012,68.07486322,0
106.5,2862.423062,68.00615816,0
106.75,2864.604958,67.93786483,0
107,2866.773756,67.86998145,0
107.25,2868.929513,67.80250625,0
107.5,2871.072285,67.73543749,0
107.75,2873.202128,67.6687734,0
108,2875.319098,67.60251223,0
108.25,2877.423251,67.53665225,0
108.5,2879.514642,67.47119171,0
108.75,2881.593327,67.40612888,0
109,2883.65936,67.34146203,0
109.25,2885.712798,67.27718944,0
109.5,2887.753694,67.21330939,0
109.75,2889.782103,67.14982017,0
110,2891.798081,67.08672007,0
110.25,2893.801681,67.02400739,0
110.5,2895.792958,66.96168042,0
110.75,2897.771965,66.89973749,0
111,2899.738757,66.83817689,0
111.25,2901.693388,66.77699695,0
111.5,2903.635911,66.71619599,0
111.75,2905.566379,66.65577233,0
112,2909.975235,66.51777514,0
112.25,2914.372722,66.38013379,0
112.5,2918.758898,66.24284649,0
112.75,2923.133818,66.10591149,0
113,2927.497538,65.96932706,0
113.25,2931.850113,65.83309146,0
113.5,2936.191598,65.69720299,0
113.75,2940.522046,65.56165996,0
114,2944.841512,65.42646068,0
114.25,2949.150048,65.29160348,0
114.5,2953.447709,65.15708672,0
114.75,2957.734545,65.02290874,0
115,2962.010609,64.88906793,0
115.25,2966.275953,64.75556267,0
115.5,2970.530628,64.62239135,0
115.75,2974.774684,64.4895524,0
116,2979.008171,64.35704424,0
116.25,2983.231141,64.2248653,0
