Current_0.56A,Current_0.56A,Current_2.8A,Current_2.8A,Current_10A,Current_10A,Current_20A,Current_20A,Current_30A,Current_30A
Capacity_Ah,Voltage_V,Capacity_Ah,Voltage_V,Capacity_Ah,Voltage_V,Capacity_Ah,Voltage_V,Capacity_Ah,Voltage_V
1197.5886,3.567839073,1432.685666,3.562814024,1251.841722,3.361808995,1149.363671,3.201004933,940.3882631,3.030150774
1111.185321,3.547738685,1332.216808,3.532663346,1205.626293,3.361808995,1058.941699,3.185929594,845.9475982,2.989949614
1018.754156,3.522613056,1225.720064,3.517587815,1127.2604,3.331658317,972.5384202,3.165829015,755.5256262,2.964823986
942.3977629,3.507537717,1137.307286,3.497487428,1052.913506,3.321608027,908.2384126,3.150753676,677.1600398,2.939698357
855.9944839,3.462311509,1048.894813,3.462311509,978.566613,3.301507448,819.8256338,3.115577757,638.9816899,2.919597969
755.5256262,3.432160831,942.3977629,3.432160831,914.2666054,3.27135677,785.6662835,3.110552708,602.8131464,2.8894471
669.1223472,3.402009962,829.8725196,3.391959672,845.9475982,3.256281431,755.5256262,3.09547737,554.5879107,2.859296039
624.9161112,3.376884333,743.4695472,3.356783946,783.6570903,3.236180852,709.3098903,3.08542708,518.4190606,2.829145745
590.7567608,3.361808995,685.1974258,3.346733656,735.4318547,3.216080272,667.113154,3.070351741,484.2597103,2.788944585
546.5505248,3.311557737,655.0567685,3.326633076,685.1974258,3.195979884,618.8879184,3.045226112,454.119053,2.763818957
516.4098674,3.291457158,622.906918,3.296482399,636.9724967,3.165829015,574.6816823,3.010050194,417.9502029,2.72864323
488.2784033,3.25125619,590.7567608,3.27135677,596.7849536,3.145728627,528.4659464,2.969849226,387.8095456,2.693467312
458.137746,3.236180852,556.5974105,3.246231141,554.5879107,3.115577757,500.3347889,2.939698357,367.715774,2.663316442
413.9315099,3.185929594,524.4472534,3.231155802,510.3816747,3.07537679,468.1846318,2.914572728,341.5941163,2.633165381
371.7347736,3.130653288,498.3252891,3.185929594,472.2036314,3.025125533,440.0534742,2.894472341,317.4813452,2.592964797
335.5659235,3.070351741,472.2036314,3.160803966,438.0439744,2.974874276,411.9223167,2.864321471,305.4252662,2.557788495
309.4439592,3.035175823,446.081667,3.110552708,397.8564313,2.924623018,387.8095456,2.829145745,275.2846089,2.507537238
285.3314946,2.979899516,419.9597027,3.07537679,365.7065808,2.844221083,371.7347736,2.793969826,,
261.2190301,2.944723598,387.8095456,3.030150774,345.6128093,2.778894487,333.5564237,2.738693328,,
245.1439516,2.904522439,365.7065808,2.959798553,317.4813452,2.7135677,277.2938021,2.663316442,,
223.0406802,2.849246132,353.6501953,2.924623018,301.4065732,2.623115475,253.1813375,2.577889458,,
208.9751014,2.793969826,333.5564237,2.864321471,285.3314946,2.547738589,231.0783728,2.527638201,,
192.9000229,2.733667896,315.472152,2.798994875,,,,,,
182.8531371,2.678391973,299.3970734,2.7135677,,,,,,
172.8062513,2.618090426,279.3033019,2.618090426,,,,,,
162.7593656,2.557788495,,,,,,,,
154.7219796,2.502512572,,,,,,,,
